Date,Price,Ret,Mom1,Mom3,Mom6,Vol3,Ret_next,Ticker,TB3MS,TermSpread,Inflation,Revenue,NetIncome,Equity,TotalDebt,SharesOutstanding,ROE,ProfitMargin,DebtToEquity,MarketCap,PE,PB,PE_Rank,PB_Rank,ROE_Rank,ProfitMargin_Rank,DebtToEquity_Rank,MarketCap_Rank,Value_Composite,Quality_Composite,Low_Leverage_Composite,Size_Rank,Fundamental_Composite,month_sin,month_cos
2016-08-31,24.30684471130371,0.02365169749173024,0.5676330707839388,0.2014686970497871,-0.3088815169815631,0.5282138248155678,0.06550431202279206,AAPL,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
2016-08-31,102.3099975585938,0.04547309340371619,-0.4164784545751684,-0.3515422227003327,-0.3257550171032457,-0.2095279498612905,0.06089339757207513,ADBE,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
2016-08-31,7.400000095367432,0.0787171940733451,3.445358596989001,4.064436621779696,4.546427088396773,1.652987010598164,-0.06621624887033095,AMD,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
2016-08-31,38.45800018310547,0.01363982692722621,0.1405155363746994,0.3913717170547535,0.5157780370647848,-0.005607177027466089,0.08860318280928259,AMZN,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
2016-08-31,13.04404258728027,0.1190555591191069,0.5945751788562126,-0.5783081847607262,-0.5586506323568013,1.252312496312296,-0.03035926440687575,BAC,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
2016-08-31,23.89440727233887,-0.02959124636383825,-0.210023234836012,0.1204971891273754,0.1625002195915934,-1.412034149150212,0.01654952352618633,CMCSA,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
2016-08-31,30.55826187133789,0.005634853791449457,-1.525714471147579,-1.4265154189392,-0.2922073111491792,-0.4629862867587239,0.05895190973533415,COP,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
2016-08-31,137.3449249267578,-0.02807314051590182,0.2047932745896536,0.2404518052422467,-0.2687476560042784,-0.6308923680866767,-0.05910263450755693,COST,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
2016-08-31,78.27085876464844,-0.0290952917010322,-0.2944632890713843,-0.05169757546158991,0.1321869683067511,0.7037535463016112,-0.1018635325180975,CRM,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
2016-08-31,67.15428161621094,-0.0081987125805989,-1.049430786335239,-0.5334202351267594,0.186504753847077,-0.6897029062529499,0.02326470459254582,CVX,-1.015408649392102,0.7926418453383339,-0.3217324727214801,,,,,,-0.2466885955164826,0.197350876413186,0.2466885955164826,0.4933771910329651,0.6578362547106201,0.3289181273553101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004
